account_id,step,day,profile,is_suspicious,hour_of_day,is_night,night_ratio_7d,night_ratio_14d,temporal_shift,amount,amount_log,amount_vs_avg_7d,total_amount_7d,tx_count_24h,tx_count_7d,burst_score,unique_recv_7d,unique_recv_24h,qris_ratio_7d,channel,drain_cycle_flag,dormant_flag,is_gambling,round_amount_flag
AUG_0021,7,0,normal,0,7,0,0.0,0.0,0.0,188338,12.146,1.0,0,0,0,0.0,0,0,0.0,ewallet,0,0,0,0
AUG_0021,23,0,normal,0,23,1,0.0,0.0,0.0,393948,12.884,2.0917,188338,1,1,7.0,1,1,0.0,transfer,0,0,0,0
AUG_0021,45,1,normal,0,21,0,0.5,0.5,0.5,263303,12.4811,0.9044,582286,1,2,3.5,2,1,0.0,ewallet,0,0,0,0
AUG_0021,93,3,normal,0,21,0,0.3333,0.3333,0.3333,321314,12.6802,1.14,845589,0,3,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,138,5,normal,0,18,0,0.25,0.25,0.25,174294,12.0685,0.5975,1166903,0,4,0.0,3,0,0.0,transfer,0,0,0,0
AUG_0021,172,7,normal,0,4,1,0.2,0.2,0.2,191751,12.164,0.7149,1341197,0,5,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,201,8,normal,0,9,0,0.25,0.3333,-0.25,144903,11.8838,0.6097,950662,0,4,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,232,9,normal,0,16,0,0.25,0.2857,-0.0833,431219,12.9744,2.0725,832262,0,4,0.0,3,0,0.0,transfer,0,0,0,0
AUG_0021,268,11,normal,0,4,1,0.25,0.25,0.0,177639,12.0875,0.7542,942167,0,4,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,312,13,normal,0,0,1,0.5,0.3333,0.3,248722,12.4241,1.0522,945512,0,4,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,341,14,normal,0,5,0,0.5,0.4,0.1667,154822,11.95,0.6178,1002483,0,4,0.0,3,0,0.0,transfer,0,0,0,0
AUG_0021,378,15,normal,0,18,0,0.5,0.3333,0.3,167448,12.0284,0.6616,1012402,0,4,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,421,17,normal,0,13,0,0.5,0.3333,0.3,256589,12.4552,1.371,748631,0,4,0.0,3,0,0.0,transfer,0,0,0,0
AUG_0021,445,18,normal,0,13,0,0.25,0.3333,-0.15,204122,12.2265,0.9866,827581,1,4,1.75,3,1,0.0,ewallet,0,0,0,0
AUG_0021,468,19,normal,0,12,0,0.2,0.3,-0.2,148596,11.909,0.7201,1031703,1,5,1.4,3,1,0.0,transfer,0,0,0,0
AUG_0021,508,21,normal,0,4,1,0.0,0.3,-0.6,233477,12.3608,1.2531,931577,0,5,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,530,22,normal,0,2,1,0.2,0.3,-0.2,263348,12.4812,1.3034,1010232,1,5,1.4,3,1,0.0,ewallet,0,0,0,0
AUG_0021,562,23,normal,0,10,0,0.4,0.4,0.0,181377,12.1083,0.8199,1106132,0,5,0.0,3,0,0.0,transfer,0,0,0,0
AUG_0021,603,25,normal,0,3,1,0.4,0.4,0.0,155282,11.953,0.7531,1030920,0,5,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,625,26,normal,0,1,1,0.6,0.4,0.4,466972,13.054,2.3775,982080,1,5,1.4,3,1,0.0,transfer,0,0,0,0
AUG_0021,652,27,normal,0,4,1,0.8,0.4,0.8,193883,12.175,0.7454,1300456,0,5,0.0,3,0,0.0,ewallet,0,0,0,0
AUG_0021,673,28,normal,0,1,1,0.8333,0.4545,0.8333,236452,12.3735,0.9494,1494339,1,6,1.1667,3,1,0.0,ewallet,0,0,0,0
AUG_0021,702,29,normal,0,6,0,0.8,0.5455,0.4667,147096,11.8988,0.596,1233966,0,5,0.0,3,0,0.0,transfer,0,0,0,0
AUG_0021,721,30,normal,0,1,1,0.6667,0.5455,0.2667,361906,12.7991,1.5723,1381062,1,6,1.1667,3,1,0.0,ewallet,0,0,0,0
AUG_0021,742,30,normal,0,22,1,0.8333,0.5833,0.5,210479,12.2571,0.8087,1561591,1,6,1.1667,3,1,0.0,ewallet,0,0,0,0
AUG_0021,765,31,normal,0,21,0,0.8571,0.6667,0.4571,185522,12.1309,0.7328,1772070,1,7,1.0,3,1,0.0,transfer,0,0,0,0
AUG_0021,789,32,normal,0,21,0,0.7143,0.6667,0.1143,192223,12.1664,0.7466,1802310,1,7,1.0,3,1,0.0,ewallet,0,0,0,0
AUG_0021,808,33,normal,0,16,0,0.5714,0.6667,-0.2286,434352,12.9816,1.9904,1527561,1,7,1.0,3,1,0.0,transfer,0,0,0,0
AUG_0022,9,0,normal,0,9,0,0.0,0.0,0.0,145623,11.8888,1.0,0,0,0,0.0,0,0,0.0,ewallet,0,0,0,0
AUG_0022,25,1,normal,0,1,1,0.0,0.0,0.0,400811,12.9012,2.7524,145623,1,1,7.0,1,1,0.0,transfer,0,0,0,0
